sample	name	class
SRS4167617	_	unknown
SRS4167623	__1	unknown
SRS4169561	1	unknown
SRS4169721	1_1	unknown
SRS4169661	10	unknown
SRS3289204	102369_corazon	unknown
SRS4167425	12th_man_down	hybrid
SRS4167922	1973_vw_bus	unknown
SRS4167447	1981_skunk_1	hybrid
SRS4167448	1988_skunk_1	hybrid
SRS4169398	1n_dun	unknown
SRS4169465	1_n_the_pink	unknown
SRS4169667	2	unknown
SRS4167500	2002_2	unknown
SRS4169630	2015_d_1_very_early_flower_m_7_30_18	unknown
SRS4169629	2015_d_2_early_flower_m_7_30_18	unknown
SRS4169627	2015_d_3_flower_m_7_30_18	unknown
SRS4167172	24_infinity	unknown
SRS4167616	24k	unknown
SRS4169727	3	unknown
SRS4169719	357	unknown
SRS1758192	3rd_dimension	hybrid
SRS1757973	3x_crazy	indica
SRS4169730	4	unknown
SRS1758190	4_corners_x_harliquinn	hybrid
SRS1431914	4-jack	sativa
SRS4169409	5	unknown
SRS4169699	503_og	hybrid
SRS4169555	5_14_jh	sativa
SRS4167391	5th_element	indica
SRS4169411	6	unknown
SRS4169692	60	unknown
SRS1760268	613_x_jh	hybrid
SRS1758181	619_og	unknown
SRS4169575	7	unknown
SRS4167735	707	hybrid
SRS4167798	707_headband	hybrid
SRS4167455	707_og_kush	hybrid
SRS4167756	70s_hawaiian	unknown
SRS4169731	8	unknown
SRS4169388	80s_90s_afghan_skunk	indica
SRS1107944	8milehigh	unknown
SRS4169410	9	unknown
SRS4167783	90s_lambs_bread	sativa
SRS4167424	91_chem_12_3	hybrid
SRS1758397	9_mile	unknown
SRS4169454	9_pound_hammer	indica
SRS4167468	a5_haze	unknown
SRS4167583	abacus	sativa
SRS4169472	acai	hybrid
SRS1758220	acapulco_gold	sativa
SRS4167841	acapulco_gold_1	sativa
SRS1431821	acdc	hybrid
SRS1758101	acdc_1	hybrid
SRS1758206	acdc_2	hybrid
SRS1758373	acdc_3	hybrid
SRS1758387	acdc_4	hybrid
SRS1758396	acdc_5	hybrid
SRS1758422	acdc_6	hybrid
SRS1760277	acdc_7	hybrid
SRS1760325	acdc_8	hybrid
SRS1760334	acdc_9	hybrid
SRS1760359	acdc_10	hybrid
SRS4167967	acdc_11	hybrid
SRS4167216	ac_dc	hybrid
SRS4167277	ac_dc_1	hybrid
SRS4167862	ac_dc_2	hybrid
SRS4169368	ac_dc_3	hybrid
SRS4169502	ac_dc_hq_ii	hybrid
SRS4169506	ac_dc_hq_iii	hybrid
SRS4167300	acdc_male	hybrid
SRS1758198	acdc_x_finals	hybrid
SRS1758063	ace_of_spades	indica
SRS1758216	ace_of_spades_1	indica
SRS1759439	ace_of_spades_2	indica
SRS1760385	ace_of_spades_3	indica
SRS1760352	a_charlots_web	sativa
SRS1758163	adak	unknown
SRS4167619	adam_apple	unknown
SRS4167768	adonis	hybrid
SRS4167674	ae77_california_orange	hybrid
SRS1757989	afghan	indica
SRS1758078	afghan_1	indica
SRS4167986	afghan_2	indica
SRS4167889	afghani	indica
SRS4169758	afghani_1	indica
SRS1758495	afghani_no1_x_skunk_no1	hybrid
SRS1758555	afghanistan_kyber_pass	unknown
SRS1360597	afghan_kush	indica
SRS1360605	afghan_kush_1	indica
SRS1362427	afghan_kush_2	indica
SRS1362438	afghan_kush_3	indica
SRS1362448	afghan_kush_4	indica
SRS1362459	afghan_kush_5	indica
SRS1758399	afghan_kush_6	indica
SRS4167815	afghan_kush_7	indica
SRS1431852	afghan_mango	indica
SRS1431890	afghan_mango_1	indica
SRS1431959	afghan_mango_2	indica
SRS1760363	afghan_no1-10	unknown
SRS4169383	afghan_ooey_gooey	indica
SRS1431923	afghan_skunk_kush	indica
SRS1757955	afghoo	indica
SRS1758129	afgoo	indica
SRS1758274	afgoo_1	indica
SRS1758429	afgoo_2	indica
SRS1758532	afgoo_3	indica
SRS1758166	afgooey	indica
SRS4169448	african_queen	sativa
SRS1758428	afterglow	unknown
SRS4169656	agent_ogdog_aod	hybrid
SRS1757926	agent_orange	hybrid
SRS1758137	agent_orange_1	hybrid
SRS1758531	agent_orange_2	hybrid
SRS4167309	agent_orange_3	hybrid
SRS4167765	agent_orange_4	hybrid
SRS4168034	agent_orange_5	hybrid
SRS1758484	agent_orange_x_501og	hybrid
SRS1758524	agent_orange_x_501og_1	hybrid
SRS1758556	agent_orange_x_501og_2	hybrid
SRS1758557	agent_orange_x_501og_3	hybrid
SRS1758558	agent_orange_x_501og_4	hybrid
SRS4167656	ahmad_shah_massoud_sbg	unknown
SRS1759467	aj_sour_diesel	unknown
SRS4167332	aj_sour_diesel_1	unknown
SRS1099982	ak47	hybrid
SRS4167252	ak_47	hybrid
SRS4167926	ak_47_1	hybrid
SRS4167997	ak_47_2	hybrid
SRS4167568	ak_95	hybrid
SRS4167814	akala_kushpink_kush	hybrid
SRS4167744	ak_og	hybrid
SRS4167757	alaska	unknown
SRS4167609	alaskan_blackberry_f2	hybrid
SRS4167472	alaskan_fireweed	unknown
P2_G01_M_0073	alaskan_ice	hybrid
SRS1099975	alaskan_ice_1	hybrid
SRS1360608	alaskan_thunderfuck	sativa
SRS1758189	alaskan_thunderfuck_1	sativa
SRS1760377	albert_walker	hybrid
SRS4167471	albert_walker_1	hybrid
SRS4167990	albino_kush	unknown
SRS1758410	alcatraz_og	hybrid
SRS4167710	alice___bob	sativa
SRS4167531	alice_in_wonderland	sativa
SRS1758168	alien_daug	indica
SRS1967060	alien-dawg	indica
SRS4167962	alien_life_form_21	hybrid
SRS4167959	alien_life_form_5	hybrid
SRS4169456	alien_og	hybrid
P2_H01_M_0085	almighty-whitey	hybrid
P1_H10_H_0048_1	alyssa	hemp
SRS4169394	american_feral	unknown
SRS1760302	amethyst	hybrid
SRS1758394	amnesia	sativa
SRS1967059	amnesia_haze	sativa
SRS4167383	amnesia_pupil	sativa
P2_F06_M_0066	a.m.s.	hybrid
SRS1758466	angola_fem_2004	unknown
SRS4167839	angolan	sativa
SRS4169688	angola_red_13_lmn	sativa
SRS1758142	animal_cookies	hybrid
SRS1758405	animal_cookies_1	hybrid
SRS1758450	animal_cookies_2	hybrid
SRS1758452	animal_cookies_3	hybrid
SRS1759504	animal_cookies_4	hybrid
SRS4167419	animal_cookies_5	hybrid
SRS4167691	animal_cookies_6	hybrid
SRS4167822	animal_cookies_7	hybrid
SRS4167174	animal_house_og	hybrid
SRS4167799	animal_mints	hybrid
SRS4167752	animal_og	hybrid
SRS4167437	ape_hanger_2	unknown
SRS1758239	apollo_13	hybrid
SRS1431867	appalachian_mad_sun	unknown
SRS1758482	apple_kush	hybrid
SRS4169747	apricot_jelly	hybrid
SRS4169428	arckl_303	unknown
SRS4169775	arcticblue	hybrid
P2_F08_M_0068	arjans_haze_num2	hybrid
P2_G06_M_0078	arjans_haze_num3	hybrid
P2_D02_M_0038	arjans_strawberry_haze	hybrid
P2_G03_M_0075	arjans_ultra_haze_num1	hybrid
SRS4167837	asian_fantasy	sativa
SRS4168015	astral_og	hybrid
SRS4167415	astral_works	hybrid
SRS4167693	at	unknown
P2_A02_M_0002	ata_tundra	indica
